State,District,PC Code,Biometrics verification of farmers,Procurement Center board/Banner,Drinking water facility,Toilet facility,Help Desk,Administrative building,Drainage,Quality Check Room,,Kutcha Floor,Kutcha Floor with Tarpaulin,Brick Flooring,Cement Floor,Not performed,Manual scale without Calibaration Certificate,Manual scale with Calibaration Certificate,Digital Weighing scale without calibration certificate,Digital Weighing scale with calibration certificate,Weighbridge,Not Available,Electricity Connection/Grid energy,Generator,Not available,MSP,Procurement Center operation days and timings,Quality specifications,Duties of Procurement Center officials,Contact details of the officials,Contact details for grievance redressal,List of token generated farmers
Odisha,BALASORE,MY020109,1,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,MY021006,1,1,1,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
Odisha,BARGARH,MY030409,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
Odisha,BOUDH,MY060104,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BOUDH,MY060106,1,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
Odisha,BOUDH,MY060108,1,1,0,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0
Odisha,BOUDH,MY060203,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BOUDH,MY060209,1,0,1,0,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BOUDH,MY060211,1,0,0,0,0,0,0,1,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BOUDH,MY060212,1,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
Odisha,BOUDH,MY060309,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BOUDH,MY060310,1,1,0,0,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BOUDH,MY060314,1,0,1,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,CUTTACK,MY070105,1,1,0,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
Odisha,KALAHANDI,MY150102,1,0,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,KEONJHAR,MY180104,1,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Odisha,KEONJHAR,MY180306,1,1,1,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Odisha,KEONJHAR,MY180308,1,0,1,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,KEONJHAR,MY181002,1,1,1,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Odisha,KEONJHAR,MY181106,1,1,1,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Odisha,KEONJHAR,MY181204,1,0,1,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,KEONJHAR,MY181302,1,1,1,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,KEONJHAR,MY181303,1,1,1,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
Odisha,MAYURBHANJ,MY220504,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,MAYURBHANJ,MY220508,1,1,1,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,MAYURBHANJ,MY220803,1,0,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Odisha,MAYURBHANJ,MY221603,1,1,1,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Odisha,MAYURBHANJ,MY222001,1,1,0,1,1,1,0,0,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Odisha,NAWARANGPUR,MY230503,1,1,1,1,1,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,NAYAGARH,MY240101,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,RAYAGADA,MY270305,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,RAYAGADA,MY270509,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
Odisha,RAYAGADA,MY270906,1,0,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
