District,PCs Planned,PCs Visited
Ganjam,228,228
Puri,109,109
Cuttack,104,104
Baleshwar,91,91
Nayagarh,91,91
Jajapur,79,79
Bhadrak,74,74
Kendrapara,71,71
Khordha,71,71
Jagatsinghapur,70,70
Dhenkanal,61,61
Mayurbhanj,56,56
Kendujhar,55,55
Anugul,51,51
Sundargarh,44,44
Jharsuguda,42,42
Baudh,40,40
Rayagada,21,21
Gajapati,13,13
Malkangiri,12,12
Kalahandi,5,5
Nuapada,4,4
Bargarh,3,3
Nabarangapur,3,3
Koraput,2,2
Balangir,1,1
Debagarh,1,1
Kandhamal,0,0
Sambalpur,0,0
Subarnapur,0,0
