District,PC Name,PC Code,Category,Question,Option,Legend
KALAHANDI,KESINGA SCS,S1150807,Floor,Type of floor available for unloading of Paddy?,Cement Floor,Cement Floor
KALAHANDI,KESINGA SCS,S1150807,Source of Power,What is the source of power available at the center?,Generator,Generator
KALAHANDI,KESINGA SCS,S1150807,Waiting Space,Is there a waiting space for farmers at the purchase center?,Waiting Space,Yes
KALAHANDI,KESINGA SCS,S1150807,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Shed without Dunnage,Yes
KORAPUT,DUMURIPUT LAMPCS,S1200601,Floor,Type of floor available for unloading of Paddy?,Brick/Paved Floor,Brick/Paved Floor
KORAPUT,DUMURIPUT LAMPCS,S1200601,Dunnage,Is dunnage available at the unloading location?,Dunnage Material,Yes
KORAPUT,DUMURIPUT LAMPCS,S1200601,Dunnage,Type of dunnage available at the unloading location?,Tarpaulin,Yes
KORAPUT,DUMURIPUT LAMPCS,S1200601,Source of Power,What is the source of power available at the center?,Electricity Connection/Grid energy,Electricity Connection/Grid energy
KORAPUT,DUMURIPUT LAMPCS,S1200601,Procurement Center Banner,Is there a Procurement Center board/banner displayed prominently?,PC Board,Yes
KORAPUT,DUMURIPUT LAMPCS,S1200601,Waiting Space,Is there a waiting space for farmers at the purchase center?,Waiting Space,Yes
KORAPUT,DUMURIPUT LAMPCS,S1200601,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Shed without Dunnage,Yes
BARGARH,SATLAMA,MY030409,Floor,Type of floor available for unloading of Paddy?,Cement Floor,Cement Floor
BARGARH,SATLAMA,MY030409,Dunnage,Is dunnage available at the unloading location?,Dunnage Material,Yes
BARGARH,SATLAMA,MY030409,Dunnage,Type of dunnage available at the unloading location?,Tarpaulin,Yes
BARGARH,SATLAMA,MY030409,Source of Power,What is the source of power available at the center?,Electricity Connection/Grid energy,Electricity Connection/Grid energy
BARGARH,SATLAMA,MY030409,Procurement Center Banner,Is there a Procurement Center board/banner displayed prominently?,PC Board,Yes
BARGARH,SATLAMA,MY030409,Waiting Space,Is there a waiting space for farmers at the purchase center?,Waiting Space,Yes
BARGARH,SATLAMA,MY030409,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Shed without Dunnage,Yes
KALAHANDI,MEDINIPUR RMC YARD,MY150102,Floor,Type of floor available for unloading of Paddy?,Cement Floor,Cement Floor
KALAHANDI,MEDINIPUR RMC YARD,MY150102,Source of Power,What is the source of power available at the center?,Electricity Connection/Grid energy,Electricity Connection/Grid energy
KALAHANDI,MEDINIPUR RMC YARD,MY150102,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Shed without Dunnage,Yes
CUTTACK,CHHAGAON SCS LTD,S1070106,Floor,Type of floor available for unloading of Paddy?,Cement Floor,Cement Floor
CUTTACK,CHHAGAON SCS LTD,S1070106,Dunnage,Is dunnage available at the unloading location?,Dunnage Material,Yes
CUTTACK,CHHAGAON SCS LTD,S1070106,Dunnage,Type of dunnage available at the unloading location?,Tarpaulin,Yes
CUTTACK,CHHAGAON SCS LTD,S1070106,Source of Power,What is the source of power available at the center?,Not Available,Not Available
CUTTACK,CHHAGAON SCS LTD,S1070106,Procurement Center Banner,Is there a Procurement Center board/banner displayed prominently?,PC Board,Yes
CUTTACK,CHHAGAON SCS LTD,S1070106,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Shed without Dunnage,Yes
CUTTACK,CHHAGAON-KUMARPUR,MY070105,Floor,Type of floor available for unloading of Paddy?,Kutcha Floor,Kutcha Floor
CUTTACK,CHHAGAON-KUMARPUR,MY070105,Source of Power,What is the source of power available at the center?,Electricity Connection/Grid energy,Electricity Connection/Grid energy
CUTTACK,CHHAGAON-KUMARPUR,MY070105,Procurement Center Banner,Is there a Procurement Center board/banner displayed prominently?,PC Board,Yes
CUTTACK,CHHAGAON-KUMARPUR,MY070105,Waiting Space,Is there a waiting space for farmers at the purchase center?,Waiting Space,Yes
CUTTACK,CHHAGAON-KUMARPUR,MY070105,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Open Storage without Dunnage,Yes
CUTTACK,GOBARA SCS LTD,S1070108,Floor,Type of floor available for unloading of Paddy?,Kutcha Floor,Kutcha Floor
CUTTACK,GOBARA SCS LTD,S1070108,Dunnage,Is dunnage available at the unloading location?,Dunnage Material,Yes
CUTTACK,GOBARA SCS LTD,S1070108,Dunnage,Type of dunnage available at the unloading location?,Tarpaulin,Yes
CUTTACK,GOBARA SCS LTD,S1070108,Source of Power,What is the source of power available at the center?,Electricity Connection/Grid energy,Electricity Connection/Grid energy
CUTTACK,GOBARA SCS LTD,S1070108,Procurement Center Banner,Is there a Procurement Center board/banner displayed prominently?,PC Board,Yes
CUTTACK,GOBARA SCS LTD,S1070108,Storage Facilities,What kind of storage facility is available at procurement center for procured grains?,Shed without Dunnage,Yes
KENDRAPARA,BADAMULABASANTA,S1170709,Floor,Type of floor available for unloading of Paddy?,Cement Floor,Cement Floor
KENDRAPARA,BADAMULABASANTA,S1170709,Dunnage,Is dunnage available at the unloading location?,Dunnage Material,Yes
KENDRAPARA,BADAMULABASANTA,S1170709,Dunnage,Type of dunnage available at the unloading location?,Tarpaulin,Yes
KENDRAPARA,BADAMULABASANTA,S1170709,Source of Power,What is the source of power available at the center?,Electricity Connection/Grid energy,Electricity Connection/Grid energy
KENDRAPARA,BADAMULABASANTA,S1170709,Procurement Center Banner,Is there a Procurement Center board/banner displayed prominently?,PC Board,Yes
KENDRAPARA,BADAMULABASANTA,S1170709,Waiting Space,Is there a waiting space for farmers at the purchase center?,Waiting Space,Yes
